dataset,model,defender,latency,input tokens,output tokens,energy,full_compliance,full_refusal
xs,deepseek,ICD,8.95,67.63,162.06,847.02,54.89,45.11
xs,llama3,Retokenization,6.31,62.60,253.14,1456.07,99.78,0.22
oa,llama3,intentionanalysi,15.66,635.00,626.88,3830.07,97.24,2.76
law,phi,base,6.29,1699.04,181.43,1023.84,99.91,0.09
math,gemma,Retokenization,17.34,3953.08,292.05,3751.17,100.00,0.00
xs,qwen,smoothllm,31.23,230.24,1452.86,8163.01,53.11,46.89
oa,mistral,intentionanalysi,13.04,508.26,457.50,2736.42,70.47,29.53
law,gemma,llamaguard,6.74,3248.56,110.71,1458.65,3.91,96.09
law,llama3,base,5.60,1500.93,215.16,1455.70,100.00,0.00
oa,gemma,selfParaphrase,22.51,94.07,372.53,4428.40,94.09,5.91
math,deepseek,selfParaphrase,35.25,2204.01,615.70,3438.35,92.01,7.99
oa,gemma,smoothllm,132.62,228.17,2159.83,26107.98,97.24,2.76
xs,phi,smoothllm,86.99,93.37,2647.66,12059.27,90.44,9.56
oa,llama3,ICD,9.61,119.01,386.41,2342.07,99.61,0.39
math,mistral,Self-Reminder,8.93,1940.15,310.70,2121.50,96.74,3.26
math,gemma,base,14.41,1823.46,254.53,2817.40,100.00,0.00
math,gemma,selfParaphrase,3.28,1868.24,49.77,717.41,100.00,0.00
xs,gemma,PPL,12.45,20.33,212.12,2298.00,49.33,50.67
law,qwen,selfParaphrase,4.55,1574.34,195.23,1176.79,51.77,48.23
math,deepseek,PPL,20.42,1836.28,357.79,2069.61,100.00,0.00
law,deepseek,prioritygoal,12.17,2311.53,216.61,1305.21,99.91,0.09
oa,phi,ICD,19.03,86.05,546.14,2240.79,98.03,1.97
oa,gemma,prioritygoal,18.50,800.31,300.74,3663.92,97.64,2.36
oa,llama3,PPL,13.20,67.01,306.20,3204.40,57.48,42.52
xs,mistral,Self-Exam,8.65,300.68,304.85,1824.15,88.44,11.56
oa,llama3,Self-Reminder,10.91,108.24,440.44,2676.36,100.00,0.00
law,phi,intentionanalysi,46.21,4270.85,1330.01,7835.61,100.00,0.00
oa,deepseek,PPL,27.09,41.92,278.20,2315.35,55.91,44.09
oa,deepseek,selfdefend,2.00,123.92,33.44,167.76,100.00,0.00
math,mistral,prioritygoal,20.87,2702.15,741.03,5262.00,99.26,0.74
math,gemma,ICD,13.07,1875.46,226.29,2781.07,99.93,0.07
oa,qwen,Self-Reminder,8.54,85.42,376.67,2108.28,98.43,1.57
law,phi,Retokenization,5.79,4144.99,138.61,1166.94,99.82,0.18
xs,mistral,intentionanalysi,8.60,379.94,300.67,1834.01,81.33,18.67
xs,gemma,selfdefend,2.06,101.33,38.27,398.08,100.00,0.00
math,gemma,PPL,14.54,1823.46,254.29,2841.16,100.00,0.00
law,mistral,llamaguard,5.70,3486.13,199.09,1367.97,2.09,97.91
xs,gemma,intentionanalysi,12.81,344.62,237.61,2479.96,56.89,43.11
xs,mistral,Self-Reminder,5.87,63.31,206.40,1243.12,95.11,4.89
math,phi,selfdefend,3.70,1971.77,103.72,657.07,99.63,0.37
law,mistral,selfdefend,4.11,1745.22,73.39,1083.33,99.73,0.27
math,llama3,prioritygoal,25.66,2492.42,1009.03,7195.19,99.85,0.15
xs,deepseek,base,11.01,18.63,203.46,1037.87,61.33,38.67
math,mistral,PPL,9.25,1892.15,325.69,2211.57,99.63,0.37
law,mistral,Self-Exam,12.94,1882.38,246.06,3407.27,98.73,1.27
oa,deepseek,Self-Reminder,23.29,85.92,420.34,1966.10,96.06,3.94
law,qwen,intentionanalysi,4.31,3252.87,184.32,1117.55,100.00,0.00
math,llama3,smoothllm,86.87,12741.29,3315.46,22745.77,67.80,32.20
oa,mistral,ICD,8.67,87.09,307.12,1795.29,98.03,1.97
law,phi,ICD,6.10,1747.04,176.05,991.83,100.00,0.00
oa,mistral,selfParaphrase,18.39,342.47,650.19,3848.30,96.06,3.94
oa,gemma,Retokenization,18.66,91.07,308.43,3621.37,96.46,3.54
law,llama3,Self-Reminder,39.72,1541.93,1011.98,10441.49,99.82,0.18
law,llama3,smoothllm,33.73,9005.59,1290.93,9326.50,100.00,0.00
oa,phi,selfParaphrase,20.56,127.44,591.31,2400.03,95.67,4.33
oa,qwen,selfdefend,0.75,130.42,33.14,182.43,99.21,0.79
law,mistral,Retokenization,15.55,4133.88,529.98,4244.95,99.64,0.36
xs,qwen,prioritygoal,4.51,775.27,206.29,1215.11,65.78,34.22
oa,mistral,Self-Reminder,9.24,88.18,327.43,1915.91,96.46,3.54
law,mistral,prioritygoal,18.56,2466.22,482.38,4781.28,99.91,0.09
xs,deepseek,Self-Exam,13.55,258.06,247.25,1214.66,59.11,40.89
oa,phi,smoothllm,114.17,230.68,3300.58,13745.16,98.03,1.97
law,qwen,Retokenization,2.38,3966.67,84.45,681.31,99.91,0.09
